,Uncontrolled,Discrimintation Free,"First Come, First Served",With Battery,Cost optimized,Uncontrolled_Trafolast,Discrimintation Free_Trafolast,"First Come, First Served_Trafolast",With Battery_Trafolast,Cost optimized_Trafolast,Preload,Energy_price_(Euro/MWh),CO2e(kg/kWh)
80,0.0,0.0,0.0,0.0,0.0,82.102,82.102,82.102,82.48629558539692,82.102,82.102,157.98126666666664,0.73
81,0.0,0.0,0.0,0.0,0.0,82.08,82.08,82.08,82.44828323090915,82.08,82.08,157.8646,0.73
82,0.0,0.0,0.0,0.0,0.0,82.058,82.058,82.058,82.41093805945962,82.058,82.058,157.74793333333332,0.73
83,0.0,0.0,0.0,0.0,0.0,82.036,82.036,82.036,82.37423227168833,82.036,82.036,157.63126666666665,0.73
84,0.0,0.0,0.0,0.0,0.0,82.01400000000001,82.01400000000001,82.01400000000001,82.33813922654477,82.01400000000001,82.01400000000001,157.51459999999997,0.73
85,0.0,0.0,0.0,0.0,0.0,81.992,81.992,81.992,82.3026333930248,81.992,81.992,157.39793333333333,0.73
86,0.0,0.0,0.0,0.0,0.0,81.97,81.97,81.97,82.26769030391876,81.97,81.97,157.28126666666665,0.73
87,0.0,0.0,0.0,0.0,0.0,81.94800000000001,81.94800000000001,81.94800000000001,82.23328651148645,81.94800000000001,81.94800000000001,157.16459999999998,0.73
88,0.0,0.0,0.0,0.0,0.0,81.926,81.926,81.926,82.1993995449792,81.926,81.926,157.0479333333333,0.73
89,0.0,0.0,0.0,0.0,0.0,81.90400000000001,81.90400000000001,81.90400000000001,82.16600786993179,81.90400000000001,81.90400000000001,156.93126666666666,0.73
90,0.0,0.0,0.0,0.0,0.0,81.882,81.882,81.882,82.1330908491505,81.882,81.882,156.81459999999998,0.73
91,0.0,0.0,0.0,0.0,0.0,81.80210000000001,81.80210000000001,81.80210000000001,82.04272870532682,81.80210000000001,81.80210000000001,156.6979333333333,0.73
92,0.0,0.0,0.0,0.0,0.0,81.7222,81.7222,81.7222,81.95280248520865,81.7222,81.7222,156.58126666666666,0.73
93,0.0,0.0,0.0,0.0,0.0,81.6423,81.6423,81.6423,81.86329402526472,81.6423,81.6423,156.4646,0.73
94,0.0,0.0,0.0,0.0,0.0,81.5624,81.5624,81.5624,81.77418591877928,81.5624,81.5624,156.34793333333332,0.73
95,0.0,0.0,0.0,0.0,0.0,81.4825,81.4825,81.4825,81.68546148431822,81.4825,81.4825,156.23126666666664,0.73
96,0.0,0.0,0.0,0.0,0.0,81.4026,81.4026,81.4026,81.59710473550882,81.4026,81.4026,156.1146,0.73
97,0.0,0.0,0.0,0.0,0.0,81.3227,81.3227,81.3227,81.5091003520788,81.3227,81.3227,155.99793333333332,0.73
98,0.0,0.0,0.0,0.0,0.0,81.2428,81.2428,81.2428,81.42143365210215,81.2428,81.2428,155.88126666666665,0.73
99,0.0,0.0,0.0,0.0,0.0,81.1629,81.1629,81.1629,81.33409056540118,81.1629,81.1629,155.76459999999997,0.73
100,0.0,0.0,0.0,0.0,0.0,81.083,81.083,81.083,81.24705760805709,81.083,81.083,155.64793333333333,0.73
101,0.0,0.0,0.0,0.0,0.0,81.14869999999999,81.14869999999999,81.14869999999999,81.30592185798227,81.14869999999999,81.14869999999999,155.53126666666665,0.73
102,0.0,0.0,0.0,0.0,0.0,81.2144,81.2144,81.2144,81.36507093151083,81.2144,81.2144,155.41459999999998,0.73
103,0.0,0.0,0.0,0.0,0.0,81.2801,81.2801,81.2801,81.42449296096413,81.2801,81.2801,155.2979333333333,0.73
104,0.0,0.0,0.0,0.0,0.0,81.3458,81.3458,81.3458,81.48417657315132,81.3458,81.3458,155.18126666666666,0.73
105,0.0,0.0,0.0,0.0,0.0,81.41149999999999,81.41149999999999,81.41149999999999,81.54411086876569,81.41149999999999,81.41149999999999,155.06459999999998,0.73
106,0.0,0.0,0.0,0.0,0.0,81.4772,81.4772,81.4772,81.60428540263936,81.4772,81.4772,154.9479333333333,0.73
107,0.0,0.0,0.0,0.0,0.0,81.5429,81.5429,81.5429,81.66469016482085,81.5429,81.5429,154.83126666666666,0.73
108,0.0,0.0,0.0,0.0,0.0,81.6086,81.6086,81.6086,81.72531556244097,81.6086,81.6086,154.7146,0.73
109,0.0,0.0,0.0,0.0,0.0,81.67429999999999,81.67429999999999,81.67429999999999,81.78615240233435,81.67429999999999,81.67429999999999,154.59793333333332,0.73
110,0.0,0.0,0.0,0.0,0.0,81.74,81.74,81.74,81.84719187438519,81.74,81.74,154.48126666666664,0.73
111,0.0,0.0,0.0,0.0,0.0,81.89009999999999,81.89009999999999,81.89009999999999,81.99282553556661,81.89009999999999,81.89009999999999,154.3646,0.73
112,0.0,0.0,0.0,0.0,0.0,82.0402,82.0402,82.0402,82.13864529464546,82.0402,82.0402,154.24793333333332,0.73
113,0.0,0.0,0.0,0.0,0.0,82.1903,82.1903,82.1903,82.28464339752404,82.1903,82.1903,154.13126666666665,0.73
114,0.0,0.0,0.0,0.0,0.0,82.3404,82.3404,82.3404,82.43081241319287,82.3404,82.3404,154.01459999999997,0.73
115,0.0,0.0,0.0,0.0,0.0,82.4905,82.4905,82.4905,82.57714522026858,82.4905,82.4905,153.89793333333333,0.73
116,0.0,0.0,0.0,0.0,0.0,82.64059999999999,82.64059999999999,82.64059999999999,82.72363499409286,82.64059999999999,82.64059999999999,153.78126666666665,0.73
117,0.0,0.0,0.0,0.0,0.0,82.7907,82.7907,82.7907,82.87027519436883,82.7907,82.7907,153.66459999999998,0.73
118,0.0,0.0,0.0,0.0,0.0,82.9408,82.9408,82.9408,83.0170595533126,82.9408,82.9408,153.5479333333333,0.73
119,0.0,0.0,0.0,0.0,0.0,83.0909,83.0909,83.0909,83.16398206429864,83.0909,83.0909,153.43126666666666,0.73
120,0.0,0.0,0.0,0.0,0.0,83.241,83.241,83.241,83.31103697097798,83.241,83.241,153.31459999999998,0.73
121,0.0,0.0,0.0,0.0,0.0,83.19239999999999,83.19239999999999,83.19239999999999,83.2595187568502,83.19239999999999,83.19239999999999,153.2979333333333,0.73
122,0.0,0.0,0.0,0.0,0.0,83.1438,83.1438,83.1438,83.20812213526956,83.1438,83.1438,153.28126666666665,0.73
123,0.0,0.0,0.0,0.0,0.0,83.0952,83.0952,83.0952,83.1568420398678,83.0952,83.0952,153.26459999999997,0.73
124,0.0,0.0,0.0,0.0,0.0,83.0466,83.0466,83.0466,83.10567361537576,83.0466,83.0466,153.24793333333332,0.73
125,0.0,0.0,0.0,0.0,0.0,82.99799999999999,82.99799999999999,82.99799999999999,83.05461220882773,82.99799999999999,82.99799999999999,153.23126666666664,0.73
126,0.0,0.0,0.0,0.0,0.0,82.9494,82.9494,82.9494,83.00365336113204,82.9494,82.9494,153.2146,0.73
127,0.0,0.0,0.0,0.0,0.0,82.9008,82.9008,82.9008,82.95279279899287,82.9008,82.9008,153.1979333333333,0.73
128,0.0,0.0,0.0,0.0,0.0,82.8522,82.8522,82.8522,82.90202642716888,82.8522,82.8522,153.18126666666666,0.73
129,0.0,0.0,0.0,0.0,0.0,82.80359999999999,82.80359999999999,82.80359999999999,82.8513503210542,82.80359999999999,82.80359999999999,153.16459999999998,0.73
130,0.0,0.0,0.0,0.0,0.0,82.755,82.755,82.755,82.80076071956857,82.755,82.755,153.14793333333333,0.73
131,0.0,0.0,0.0,0.0,0.0,82.7627,82.7627,82.7627,82.80655401834382,82.7627,82.7627,153.13126666666665,0.73
132,0.0,0.0,0.0,0.0,0.0,82.7704,82.7704,82.7704,82.81242676319408,82.7704,82.7704,153.1146,0.73
133,0.0,0.0,0.0,0.0,0.0,82.7781,82.7781,82.7781,82.81837564385832,82.7781,82.7781,153.09793333333332,0.73
134,0.0,0.0,0.0,0.0,0.0,82.7858,82.7858,82.7858,82.82439748800333,82.7858,82.7858,153.08126666666666,0.73
135,0.0,0.0,0.0,0.0,0.0,82.7935,82.7935,82.7935,82.83048925547676,82.7935,82.7935,153.06459999999998,0.73
136,0.0,0.0,0.0,0.0,0.0,82.8012,82.8012,82.8012,82.83664803279964,82.8012,82.8012,153.0479333333333,0.73
137,0.0,0.0,0.0,0.0,0.0,82.8089,82.8089,82.8089,82.8428710278882,82.8089,82.8089,153.03126666666665,0.73
138,0.0,0.0,0.0,0.0,0.0,82.8166,82.8166,82.8166,82.84915556499575,82.8166,82.8166,153.01459999999997,0.73
139,0.0,0.0,0.0,0.0,0.0,82.8243,82.8243,82.8243,82.85549907986537,82.8243,82.8243,152.99793333333332,0.73
140,0.0,0.0,0.0,0.0,0.0,82.832,82.832,82.832,82.8618991150844,82.832,82.832,152.98126666666664,0.73
141,0.0,0.0,0.0,0.0,0.0,82.7589,82.7589,82.7589,82.78755331563265,82.7589,82.7589,152.9646,0.73
142,0.0,0.0,0.0,0.0,0.0,82.6858,82.6858,82.6858,82.71325942461596,82.6858,82.6858,152.9479333333333,0.73
143,0.0,0.0,0.0,0.0,0.0,82.61269999999999,82.61269999999999,82.61269999999999,82.63901527917767,82.61269999999999,82.61269999999999,152.93126666666666,0.73
144,0.0,0.0,0.0,0.0,0.0,82.5396,82.5396,82.5396,82.5648188065804,82.5396,82.5396,152.91459999999998,0.73
145,0.0,0.0,0.0,0.0,0.0,82.4665,82.4665,82.4665,82.49066802045101,82.4665,82.4665,152.89793333333333,0.73
146,0.0,0.0,0.0,0.0,0.0,82.3934,82.3934,82.3934,82.41656101718209,82.3934,82.3934,152.88126666666665,0.73
147,0.0,0.0,0.0,0.0,0.0,82.3203,82.3203,82.3203,82.3424959724834,82.3203,82.3203,152.8646,0.73
148,0.0,0.0,0.0,0.0,0.0,82.24719999999999,82.24719999999999,82.24719999999999,82.26847113807699,82.24719999999999,82.24719999999999,152.84793333333332,0.73
149,0.0,0.0,0.0,0.0,0.0,82.1741,82.1741,82.1741,82.19448483853,82.1741,82.1741,152.83126666666666,0.73
150,0.0,0.0,0.0,0.0,0.0,82.101,82.101,82.101,82.12053546821943,82.101,82.101,152.81459999999998,0.73
151,0.0,0.0,0.0,0.0,0.0,82.4465,82.4465,82.4465,82.46522148842341,82.4465,82.4465,152.7979333333333,0.73
152,0.0,0.0,0.0,0.0,0.0,82.792,82.792,82.792,82.80994142453362,82.792,82.792,152.78126666666665,0.73
153,0.0,0.0,0.0,0.0,0.0,83.1375,83.1375,83.1375,83.15469386338391,83.1375,83.1375,152.76459999999997,0.73
154,0.0,0.0,0.0,0.0,0.0,83.483,83.483,83.483,83.4994774506902,83.483,83.483,152.74793333333332,0.73
155,0.0,0.0,0.0,0.0,0.0,83.82849999999999,83.82849999999999,83.82849999999999,83.84429088859702,83.82849999999999,83.82849999999999,152.73126666666664,0.73
