,total Load,price
731,0.001,-20.516666666666666
732,0.001,-20.2
733,0.001,-19.883333333333333
734,0.001,-19.566666666666666
735,0.001,-19.25
736,0.001,-18.933333333333334
737,0.001,-18.616666666666667
738,0.001,-18.3
739,0.001,-17.983333333333334
740,0.001,-17.666666666666668
741,0.001,-17.35
742,0.001,-17.03333333333333
743,0.001,-16.71666666666667
744,0.001,-16.4
745,0.001,-16.083333333333336
746,0.001,-15.766666666666667
747,0.001,-15.450000000000001
748,0.001,-15.133333333333333
749,0.001,-14.816666666666666
750,0.001,-14.5
751,0.001,-14.183333333333334
752,0.001,-13.866666666666667
753,0.002,-13.55
754,0.002,-13.233333333333334
755,0.002,-12.916666666666668
756,0.002,-12.600000000000001
757,0.002,-12.283333333333333
758,0.002,-11.966666666666667
759,0.002,-11.65
760,0.002,-11.333333333333334
761,0.002,-11.016666666666667
762,0.002,-10.700000000000001
763,0.002,-10.383333333333335
764,0.001,-10.066666666666666
765,0.001,-9.75
766,0.001,-9.433333333333334
767,0.001,-9.116666666666667
768,0.001,-8.8
769,0.001,-8.483333333333334
770,0.001,-8.166666666666668
771,0.001,-7.850000000000001
772,0.001,-7.533333333333335
773,0.001,-7.216666666666669
774,0.001,-6.900000000000002
775,0.001,-6.583333333333336
776,0.001,-6.266666666666666
777,0.001,-5.949999999999999
778,0.001,-5.633333333333333
779,0.001,-5.316666666666666
780,0.001,-5.0
781,0.001,-4.916666666666667
782,0.001,-4.833333333333333
783,0.001,-4.75
784,0.001,-4.666666666666667
785,0.001,-4.583333333333333
786,0.001,-4.5
787,0.001,-4.416666666666667
788,0.001,-4.333333333333333
789,0.001,-4.25
790,0.001,-4.166666666666667
791,0.001,-4.083333333333333
792,0.001,-4.0
793,0.001,-3.916666666666667
794,0.001,-3.8333333333333335
795,0.001,-3.75
796,0.001,-3.666666666666667
797,0.001,-3.5833333333333335
798,0.001,-3.5
799,0.001,-3.416666666666667
800,0.001,-3.3333333333333335
801,0.001,-3.25
802,0.001,-3.166666666666667
803,0.001,-3.0833333333333335
804,0.001,-3.0
805,0.001,-2.916666666666667
806,0.001,-2.8333333333333335
807,0.001,-2.75
808,0.002,-2.666666666666667
809,0.002,-2.5833333333333335
810,0.002,-2.5
811,0.002,-2.416666666666667
812,0.002,-2.3333333333333335
813,0.002,-2.25
814,0.001,-2.166666666666667
815,0.001,-2.0833333333333335
816,0.001,-2.0
817,0.001,-1.916666666666667
818,0.001,-1.8333333333333335
819,0.001,-1.75
820,0.001,-1.666666666666667
821,0.001,-1.5833333333333335
822,0.001,-1.5
823,0.001,-1.416666666666667
824,0.001,-1.3333333333333335
825,0.001,-1.25
826,0.001,-1.166666666666667
827,0.001,-1.0833333333333335
828,0.001,-1.0
829,0.001,-0.916666666666667
830,0.001,-0.8333333333333339
831,0.001,-0.75
832,0.001,-0.666666666666667
833,0.001,-0.5833333333333339
834,0.001,-0.5
835,0.001,-0.41666666666666696
836,0.001,-0.3333333333333339
837,0.001,-0.25
838,0.001,-0.16666666666666696
839,0.001,-0.08333333333333393
840,0.001,0.0
841,0.001,0.18333333333333332
842,0.001,0.36666666666666664
843,0.001,0.5499999999999999
844,0.001,0.7333333333333333
845,0.001,0.9166666666666666
846,0.001,1.0999999999999999
847,0.001,1.2833333333333332
848,0.001,1.4666666666666666
849,0.001,1.65
850,0.001,1.8333333333333333
851,0.001,2.0166666666666666
852,0.001,2.1999999999999997
853,0.001,2.3833333333333333
854,0.001,2.5666666666666664
855,0.001,2.75
856,0.001,2.933333333333333
857,7.4,3.1166666666666663
858,0.002,3.3
859,0.002,3.483333333333333
860,0.002,3.6666666666666665
861,3.701,3.8499999999999996
862,7.4,4.033333333333333
