Time,LP_ST_799,LP_ST_843,LP_ST_453,LP_ST_912,LP_ST_692,LP_total_load_kW,trafo_Preload_kW,LP_occupancy,trafoLoading_kW
2018-01-03 06:42:00,0.0,0.0,0.0,0.0,0.0,0.0,31.516399999999997,0.0,31.516399999999997
2018-01-03 06:43:00,0.0,0.0,0.0,0.0,0.0,0.0,31.4931,0.0,31.4931
2018-01-03 06:44:00,0.0,0.0,0.0,0.0,0.0,0.0,31.4698,0.0,31.4698
2018-01-03 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,31.4465,0.0,31.4465
2018-01-03 06:46:00,0.0,0.0,0.0,0.0,0.0,0.0,31.423199999999998,0.0,31.423199999999998
2018-01-03 06:47:00,0.0,0.0,0.0,0.0,0.0,0.0,31.3999,0.0,31.3999
2018-01-03 06:48:00,0.0,0.0,0.0,0.0,0.0,0.0,31.3766,0.0,31.3766
2018-01-03 06:49:00,0.0,0.0,0.0,0.0,0.0,0.0,31.353299999999997,0.0,31.353299999999997
2018-01-03 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,31.33,0.0,31.33
2018-01-03 06:51:00,0.0,0.0,0.0,0.0,0.0,0.0,31.486099999999997,0.0,31.486099999999997
2018-01-03 06:52:00,0.0,0.0,0.0,0.0,0.0,0.0,31.6422,0.0,31.6422
2018-01-03 06:53:00,0.0,0.0,0.0,0.0,0.0,0.0,31.798299999999998,0.0,31.798299999999998
2018-01-03 06:54:00,0.0,0.0,0.0,0.0,0.0,0.0,31.9544,0.0,31.9544
2018-01-03 06:55:00,0.0,0.0,0.0,0.0,0.0,0.0,32.1105,0.0,32.1105
2018-01-03 06:56:00,0.0,0.0,0.0,0.0,0.0,0.0,32.2666,0.0,32.2666
2018-01-03 06:57:00,0.0,0.0,0.0,0.0,0.0,0.0,32.4227,0.0,32.4227
2018-01-03 06:58:00,0.0,0.0,0.0,0.0,0.0,0.0,32.5788,0.0,32.5788
2018-01-03 06:59:00,0.0,0.0,0.0,0.0,0.0,0.0,32.734899999999996,0.0,32.734899999999996
2018-01-03 07:00:00,0.001,0.0,0.0,0.0,0.0,0.001,32.891,1.0,32.891999999999996
2018-01-03 07:01:00,0.001,0.0,0.0,0.0,0.0,0.001,32.9248,1.0,32.925799999999995
2018-01-03 07:02:00,0.001,0.0,0.0,0.0,0.0,0.001,32.9586,1.0,32.959599999999995
2018-01-03 07:03:00,0.001,0.0,0.0,0.0,0.0,0.001,32.992399999999996,1.0,32.993399999999994
2018-01-03 07:04:00,0.001,0.0,0.0,0.0,0.0,0.001,33.026199999999996,1.0,33.02719999999999
2018-01-03 07:05:00,0.001,0.0,0.0,0.0,0.0,0.001,33.06,1.0,33.061
2018-01-03 07:06:00,0.001,0.0,0.0,0.0,0.0,0.001,33.0938,1.0,33.0948
2018-01-03 07:07:00,0.001,0.0,0.0,0.0,0.0,0.001,33.1276,1.0,33.1286
2018-01-03 07:08:00,0.001,0.0,0.0,0.0,0.0,0.001,33.1614,1.0,33.1624
2018-01-03 07:09:00,0.001,0.0,0.0,0.0,0.0,0.001,33.1952,1.0,33.1962
2018-01-03 07:10:00,0.001,0.0,0.0,0.0,0.0,0.001,33.229,1.0,33.23
2018-01-03 07:11:00,0.001,0.0,0.0,0.0,0.0,0.001,34.0006,1.0,34.001599999999996
2018-01-03 07:12:00,0.001,0.0,0.0,0.0,0.0,0.001,34.7722,1.0,34.773199999999996
2018-01-03 07:13:00,0.001,0.0,0.0,0.0,0.0,0.001,35.5438,1.0,35.544799999999995
2018-01-03 07:14:00,0.001,0.0,0.0,0.0,0.0,0.001,36.3154,1.0,36.316399999999994
2018-01-03 07:15:00,0.001,0.0,0.0,0.0,0.0,0.001,37.087,1.0,37.088
2018-01-03 07:16:00,0.001,0.0,0.0,0.0,0.0,0.001,37.858599999999996,1.0,37.85959999999999
2018-01-03 07:17:00,0.001,0.0,0.0,0.0,0.0,0.001,38.6302,1.0,38.6312
2018-01-03 07:18:00,0.001,0.0,0.0,0.0,0.0,0.001,39.4018,1.0,39.4028
2018-01-03 07:19:00,0.001,0.0,0.0,0.0,0.0,0.001,40.1734,1.0,40.1744
2018-01-03 07:20:00,0.001,0.0,0.0,0.0,0.0,0.001,40.945,1.0,40.946
